ETF,Underlying,is_yieldboost,scenario_style,is_autocallable,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,vol_underlying_annual_legacy,vol_underlying_source,sigma_realized_implied_annual,sigma_cap_annual,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,vol_ratio_value,vol_ratio_outlier,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,asof_date,product_class,underlying_sector,expected_decay_available,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,borrow_posterior_annual,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,gross_anchor_shift_annual,gross_anchor_target_annual,gross_anchor_source,gross_blend_method,gross_sigma_forward_annual,gross_sigma_realized_annual,gross_blend_weight_forward,gross_realized_mean_annual,und_rv_20d_daily_annual,und_rv_20d_weekly_annual,und_trend_ratio_20d,und_trend_ratio_fwd_20d,und_trend_regime_prob_trend_20d,und_trend_regime_prob_chop_20d,und_trend_estimator_confidence_20d,und_trend_efficiency_20d,und_trend_consistency_20d,und_trend_r2_20d,und_trend_persistence_20d,und_rebalance_cadence_score_20d,und_vcr_20d,und_return_20d,und_abs_return_20d_pctile,und_rv_20d_pctile,und_trend_ratio_20d_pctile,und_vcr_20d_pctile,und_vcr_20d_median,und_vol_shape_20d,und_rv_60d_daily_annual,und_rv_60d_weekly_annual,und_trend_ratio_60d,und_trend_ratio_fwd_60d,und_trend_regime_prob_trend_60d,und_trend_regime_prob_chop_60d,und_trend_estimator_confidence_60d,und_trend_efficiency_60d,und_trend_consistency_60d,und_trend_r2_60d,und_trend_persistence_60d,und_rebalance_cadence_score_60d,und_vcr_60d,und_return_60d,und_abs_return_60d_pctile,und_rv_60d_pctile,und_trend_ratio_60d_pctile,und_vcr_60d_pctile,und_vcr_60d_median,und_vol_shape_60d,und_vol_shape_price_basis,und_trend_estimator_source,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio,purgatory_no_locate,hard_exit_borrow,purgatory,purgatory_reason,strategy_blacklisted
AAPU,AAPL,False,,False,letf_long,1.996975,499,posterior.nominal_L,0.012469938912067494,0.03027395159049912,1,ok,2.0,240.0,nominal_L,0.138099,150000,0.138099,False,False,42.810001373291016,0.138099,1.0,False,,False,False,0.479063,0.16499,0.241527,0.251826,"{""method"":""weighted_median"",""n_probes"":7,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.435263,""sigma_pool"":0.241527,""sigma_capped_to"":null}",0.4352634931631545,0.5440793664539432,0.0096,yfinance,0.0,0.03772,0.105277,True,0.16499,0.02497295833333335,0.9932402596377907,False,0.105277,0.105277,0.105277,0.105277,simple_ito_fallback,-2.246617,0.0,479.0,252.0,2026-09-01,letf,mega-cap-tech,True,blended_realized_expected,0.02497295833333335,0.1351335,0.14001704166666665,0.06481722289156626,0.04067,0.060136824882459944,-0.01651318307661028,0.02526924210434621,0.048111160745738894,0.06854600788920218,0.09507902797454182,"{""e"":[-0.061114,-0.052416,-0.043717,-0.035019,-0.02632,-0.017622,-0.008924,-0.000225,0.008473,0.017171,0.02587,0.034568,0.043267,0.051965,0.060663,0.069362,0.07806,0.086759,0.095457,0.104155,0.112854],""c"":[1,4,2,3,6,12,16,12,18,25,32,41,47,45,33,38,26,15,9,7]}",0.105277,0.059713,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0741;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.09422472077069746,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,166.0,weighted_empirical,-0.07407686320162106,0.105277,simple_ito_fallback,anchor_shift_fallback,,0.02046564543615216,,0.17935386320162106,0.346958,0.254127,0.732443,0.928202,0.286059,0.713941,0.317543,0.12517,0.1,0.111611,0.416172,0.881799,0.610162,-0.054715,0.517347,0.880612,0.168367,0.967347,0.30726,choppy_volatile,0.321604,0.279698,0.869696,0.931037,0.294041,0.705959,0.888502,0.061951,0.133333,0.206133,0.344588,0.879675,0.23672,0.075304,0.398936,0.845745,0.206383,0.756383,0.189827,choppy_volatile,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.105277,,,simple_ito,0.49924375,0.5990924999999999,0.5,0.5990924999999999,bucket_1,,False,False,True,False,False,False,True,net_edge,False
AMUU,AMD,False,,False,letf_long,1.990849,353,posterior.nominal_L,0.012921485948980767,0.09778130564574604,1,ok,2.0,240.0,nominal_L,0.049360999999999995,6000,0.049360999999999995,False,False,163.6199951171875,0.049360999999999995,1.0,False,,False,False,1.334713,0.542509,0.67049,0.722108,"{""method"":""weighted_median"",""n_probes"":8,""n_outliers_dropped"":1,""sigma_real_implied_median"":0.717404,""sigma_pool"":0.67049,""sigma_capped_to"":null}",0.7174037843266872,0.896754730408359,0.0106,yfinance,0.0,0.03772,0.49138,True,0.542509,0.4924624305555556,0.9999016020029656,False,0.49138,0.49138,0.49138,0.49138,simple_ito_fallback,-0.696758,0.0,479.0,252.0,2026-09-01,letf,semis,True,blended_realized_expected,0.4924624305555556,0.5169445,0.05004656944444444,0.037885078787878786,0.028104999999999998,0.038620447201669336,0.3473152192390064,0.40007577393298166,0.45052790695767075,0.49731005245627824,0.5722203145242615,"{""e"":[0.310933,0.326856,0.342779,0.358702,0.374625,0.390547,0.40647,0.422393,0.438316,0.454239,0.470162,0.486085,0.502007,0.51793,0.533853,0.549776,0.565699,0.581622,0.597544,0.613467,0.62939],""c"":[5,10,20,24,25,21,34,35,30,29,28,45,21,17,13,15,10,3,3,4]}",0.49138,0.051129000000000036,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0524;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.09427588741488659,mean_reversion,False,incomplete_regime,90.0,165.0,weighted_empirical,-0.052430521236109084,0.49138,simple_ito_fallback,anchor_shift_fallback,,0.07151949868275419,,0.5438105212361091,0.67406,0.593072,0.879851,0.957886,0.372078,0.627922,0.317543,0.126989,0.1,0.032671,0.88938,0.957671,0.528961,-0.107844,0.38558,0.60815,0.460815,0.852665,0.32754,quiet_chop,0.768865,0.596618,0.775973,0.891993,0.189892,0.810108,0.999747,0.017388,0.118644,2.4e-05,0.332368,0.82906,0.150197,0.050531,0.096774,0.83871,0.060932,0.265233,0.222335,choppy_volatile,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.49138,,,simple_ito,0.49771225,0.5972547,0.5,0.5972547,bucket_1,,False,False,False,False,False,False,False,,False
AMZU,AMZN,False,,False,letf_long,1.99508,500,posterior.nominal_L,0.019891252668789595,0.04486756298676191,1,ok,2.0,240.0,nominal_L,0.043540999999999996,200000,0.043540999999999996,False,False,36.220001220703125,0.043540999999999996,1.0,False,,False,False,0.612215,0.204753,0.306862,0.34581,"{""method"":""weighted_median"",""n_probes"":8,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.499439,""sigma_pool"":0.306862,""sigma_capped_to"":null}",0.4994393272310343,0.6242991590387929,0.0099,yfinance,0.0,0.03772,0.140905,True,0.204753,0.16060726388888888,1.0000012430942495,False,0.140905,0.140905,0.140905,0.140905,simple_ito_fallback,-1.952274,0.0,479.0,252.0,2026-09-01,letf,mega-cap-tech,True,blended_realized_expected,0.16060726388888888,0.172829,0.044145736111111104,0.05096985365853659,0.03944,0.04753695458065303,0.04068040184591464,0.075202681651911,0.09504407256415362,0.1144370939934502,0.13958885174990202,"{""e"":[-0.015249,-0.006595,0.002059,0.010713,0.019367,0.02802,0.036674,0.045328,0.053982,0.062636,0.07129,0.079943,0.088597,0.097251,0.105905,0.114559,0.123213,0.131866,0.14052,0.149174,0.157828],""c"":[1,0,1,1,4,7,6,9,22,26,41,48,43,51,36,37,30,14,8,7]}",0.140905,0.06384799999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0808;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.12780173559167712,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,164.0,weighted_empirical,-0.08080517354084144,0.140905,simple_ito_fallback,anchor_shift_fallback,,0.024814837019838734,,0.22171017354084144,0.753897,0.406529,0.539237,0.927986,0.285454,0.714546,0.317543,0.049779,0.3,0.124906,0.420629,0.869605,0.812746,0.047281,0.410417,1.0,0.076042,0.984375,0.275893,choppy_volatile,0.515737,0.353779,0.685967,0.905493,0.224379,0.775621,0.55,0.026009,0.166667,0.000889,0.342251,0.83017,0.578896,-0.050699,0.263043,0.997826,0.055435,0.983696,0.224293,choppy_volatile,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.140905,,,simple_ito,0.49877,0.598524,0.5,0.598524,bucket_1,,False,False,False,False,False,False,False,,False
ASMU,ASML,False,,False,letf_long,1.999004,138,posterior.nominal_L,0.008230718058934813,0.07438188627118296,1,ok,2.0,240.0,nominal_L,0.112593,50000,0.112593,False,False,28.31999969482422,0.112593,1.0,False,,False,False,1.010329,0.378983,0.461731,0.465471,"{""method"":""weighted_median"",""n_probes"":3,""n_outliers_dropped"":1,""sigma_real_implied_median"":0.590942,""sigma_pool"":0.461731,""sigma_capped_to"":null}",0.5909417524658289,0.7386771905822862,0.0097,yfinance,0.0,0.03772,0.26026,True,0.325275,0.26482620833333337,1.0946117918576803,False,0.26026,0.26026,0.26026,0.26026,simple_ito_fallback,-1.34458,0.0,478.0,252.0,2026-09-01,letf,semis,True,blended_realized_expected,0.26482620833333337,0.3196215,0.11415679166666666,0.1031978280254777,0.09324850000000001,0.10565924070524213,0.011977122899823807,0.09186280287605486,0.15191382643210294,0.2125260175287808,0.3019081165842913,"{""e"":[-0.041285,-0.020678,-7.1e-05,0.020536,0.041143,0.06175,0.082358,0.102965,0.123572,0.144179,0.164786,0.185393,0.206001,0.226608,0.247215,0.267822,0.288429,0.309036,0.329643,0.350251,0.370858],""c"":[9,5,7,17,19,27,21,29,43,38,40,32,28,20,23,9,11,7,4,3]}",0.26026,0.11872300000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1149;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.13807536326272427,mean_reversion,False,incomplete_regime,90.0,157.0,weighted_empirical,-0.11490680790012059,0.26026,simple_ito_fallback,anchor_shift_fallback,,0.08580791262563481,,0.3751668079001206,0.512457,0.420835,0.821211,0.921975,0.268732,0.731268,0.317543,0.058301,0.0,0.009799,0.497785,0.882024,0.522634,-0.037641,0.26,0.37,0.69,1.0,0.231611,quiet_chop,0.625841,0.557991,0.891586,0.912176,0.242086,0.757914,1.0,0.046311,0.016949,0.127821,0.248336,0.85685,0.116805,0.109547,0.2,0.466667,0.9,0.833333,0.106428,quiet_chop,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.26026,,,simple_ito,0.499751,0.5997011999999999,0.5,0.5997011999999999,bucket_1,,False,False,False,False,False,False,False,,False
AVL,AVGO,False,,False,letf_long,1.996416,472,posterior.nominal_L,0.015278524403144107,0.06794985077218331,1,ok,2.0,240.0,nominal_L,0.037288,4000,0.037288,False,False,40.29999923706055,0.037288,1.0,False,,False,False,0.922936,0.359532,0.462296,0.482893,"{""method"":""weighted_median"",""n_probes"":6,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.601226,""sigma_pool"":0.462296,""sigma_capped_to"":null}",0.6012262112108023,0.7515327640135029,0.01,yfinance,0.0,0.03772,0.260155,True,0.359532,0.32172611111111116,1.000000941413942,False,0.260155,0.260155,0.260155,0.260155,simple_ito_fallback,-1.341094,0.0,479.0,252.0,2026-09-01,letf,semis,True,blended_realized_expected,0.32172611111111116,0.30984350000000005,0.03780588888888889,0.04086489570552147,0.027758,0.03483918731849977,0.1431077314339935,0.19096741655317906,0.2265930407165619,0.2566587166704246,0.312045468517667,"{""e"":[0.119765,0.131245,0.142725,0.154204,0.165684,0.177164,0.188643,0.200123,0.211603,0.223082,0.234562,0.246042,0.257521,0.269001,0.28048,0.29196,0.30344,0.314919,0.326399,0.337879,0.349358],""c"":[8,5,14,16,26,23,32,34,31,35,42,30,17,27,18,9,11,6,7,1]}",0.260155,0.099377,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1197;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.08518219511505844,mean_reversion,False,incomplete_regime,90.0,163.0,weighted_empirical,-0.11966276139461174,0.260155,simple_ito_fallback,anchor_shift_fallback,,0.04862263549101759,,0.37981776139461176,0.494516,0.55556,1.123442,0.967283,0.400227,0.599773,0.353705,0.05269,0.2,0.641815,0.255643,0.925756,0.451284,-0.032828,0.208716,0.580275,0.745413,0.743119,0.323209,quiet_trend,0.59008,0.541707,0.918023,0.918876,0.26022,0.73978,0.9122,0.065535,0.1,0.243558,0.077829,0.841854,0.218289,-0.146162,0.378788,0.674242,0.439394,0.361111,0.234669,quiet_chop,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.260155,,,simple_ito,0.499104,0.5989247999999999,0.5,0.5989247999999999,bucket_1,,False,False,False,False,False,False,False,,False
BOEU,BA,False,,False,letf_long,1.99394,340,posterior.nominal_L,0.008603939317643094,0.050924210408815854,1,ok,2.0,240.0,nominal_L,0.067319,35000,0.067319,False,False,29.43899917602539,0.067319,1.0,False,,False,False,0.639983,0.2061,0.319878,0.33497,"{""method"":""weighted_median"",""n_probes"":3,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.454715,""sigma_pool"":0.319878,""sigma_capped_to"":null}",0.454714856264825,0.5683935703310312,0.0106,yfinance,0.0,0.03772,0.149485,True,0.2061,0.1378460138888889,1.0033951099593603,False,0.149485,0.149485,0.149485,0.149485,simple_ito_fallback,-1.891446,0.0,478.0,252.0,2026-09-01,letf,industrials,True,blended_realized_expected,0.1378460138888889,0.17779250000000002,0.06825398611111111,0.06140195151515152,0.066001,0.062403925632640966,0.016481939595158125,0.05787258239433951,0.08972618372359735,0.11759349218490955,0.15187661170618977,"{""e"":[-0.001851,0.007331,0.016513,0.025694,0.034876,0.044058,0.05324,0.062422,0.071603,0.080785,0.089967,0.099149,0.108331,0.117512,0.126694,0.135876,0.145058,0.15424,0.163421,0.172603,0.181785],""c"":[5,11,10,22,15,22,23,32,30,27,37,27,34,31,21,16,14,4,8,3]}",0.149485,0.056615,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0559;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.1531882645003395,mean_reversion,False,incomplete_regime,90.0,165.0,weighted_empirical,-0.05594588896578559,0.149485,simple_ito_fallback,anchor_shift_fallback,,0.041524242366963615,,0.2054308889657856,0.393406,0.44333,1.126902,0.958069,0.372623,0.627377,0.317543,0.063195,0.4,0.076965,0.48107,0.896808,0.675532,-0.031322,0.301325,0.778146,0.645695,0.956954,0.303732,quiet_trend,0.399294,0.346035,0.866615,0.95801,0.372448,0.627552,0.91182,0.089309,0.3,0.064767,0.611283,0.923394,0.218585,-0.134784,0.755725,0.858779,0.179389,0.725191,0.176046,choppy_volatile,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.149485,,,simple_ito,0.498485,0.598182,0.5,0.598182,bucket_1,,False,False,False,False,False,False,False,,False
BABU,BABA,False,,False,letf_long,2.005421,137,posterior.nominal_L,0.011145133855430695,0.049939065923447955,1,ok,2.0,240.0,nominal_L,0.043213999999999995,5000,0.043213999999999995,False,False,9.800000190734863,0.043213999999999995,1.0,False,,False,False,0.834344,0.304661,0.442457,0.45787,"{""method"":""weighted_median"",""n_probes"":5,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.659104,""sigma_pool"":0.442457,""sigma_capped_to"":null}",0.6591043731160684,0.8238804663950855,0.0097,yfinance,0.0,0.03772,0.244987,True,0.277429,0.26084680555555556,0.9403045084440184,False,0.244987,0.244987,0.244987,0.244987,simple_ito_fallback,-1.414663,0.0,478.0,252.0,2026-09-01,letf,china,True,blended_realized_expected,0.26084680555555556,0.274824,0.04381419444444444,0.11415937012987014,0.166962,0.12188238448241066,-0.02732114452683649,0.05845718113326074,0.12163240354741525,0.18463939339371277,0.27031311660108603,"{""e"":[-0.107633,-0.085992,-0.064351,-0.04271,-0.021069,0.000572,0.022213,0.043854,0.065495,0.087135,0.108776,0.130417,0.152058,0.173699,0.19534,0.216981,0.238622,0.260263,0.281904,0.303545,0.325186],""c"":[1,1,6,11,10,22,28,30,35,32,30,29,44,26,28,24,11,13,8,3]}",0.244987,0.059674000000000005,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0530;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1826655702208934,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,154.0,weighted_empirical,-0.053026394481792416,0.244987,simple_ito_fallback,anchor_shift_fallback,,0.06279732987514881,,0.2980133944817924,0.607715,0.460269,0.757377,0.918283,0.258601,0.741399,0.382063,0.008319,0.1,0.002265,0.451276,0.870458,0.413081,-0.00637,0.020202,0.909091,0.232323,0.757576,0.363629,choppy_volatile,0.549793,0.502549,0.91407,0.951124,0.352056,0.647944,0.976555,0.09366,0.2,0.029458,0.522825,0.914203,0.168235,-0.194627,0.779661,0.949153,0.152542,0.610169,0.154819,choppy_volatile,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.244987,,,simple_ito,0.50135525,0.6016263000000001,0.50135525,0.6016263000000001,bucket_1,,False,False,False,False,False,False,False,,False
BRKU,BRK-B,False,,False,letf_long,1.983005,429,posterior.nominal_L,0.008636240789147636,0.03646999752893028,1,ok,2.0,240.0,nominal_L,0.039125,150000,0.039125,False,False,22.780000686645508,0.039125,1.0,False,,False,False,0.268373,0.128967,0.138384,0.146071,"{""method"":""weighted_median"",""n_probes"":4,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.348733,""sigma_pool"":0.138384,""sigma_capped_to"":null}",0.3487330549723389,0.43591631871542363,0.0102,yfinance,0.0,0.03772,0.065944,True,0.128967,0.08929859722222222,0.9779781051025778,False,0.065944,0.065944,0.065944,0.065944,simple_ito_fallback,-2.693275,0.0,478.0,252.0,2026-09-01,letf,,True,blended_realized_expected,0.08929859722222222,0.0974555,0.03966840277777778,0.06276926708074533,0.0460965,0.056395942490647354,-0.04730805504336178,-0.010102772581747852,0.010120750754919132,0.03048417201704494,0.06275098850005201,"{""e"":[-0.122142,-0.111719,-0.101295,-0.090871,-0.080447,-0.070024,-0.0596,-0.049176,-0.038753,-0.028329,-0.017905,-0.007481,0.002942,0.013366,0.02379,0.034214,0.044637,0.055061,0.065485,0.075908,0.086332],""c"":[2,1,0,1,3,2,7,12,14,30,31,51,60,53,45,37,15,13,8,7]}",0.065944,0.063023,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0694;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.1255826404681175,mean_reversion,False,incomplete_regime,90.0,161.0,weighted_empirical,-0.0693625610771339,0.065944,simple_ito_fallback,anchor_shift_fallback,,0.02662567492403814,,0.1353065610771339,0.22985,0.262794,1.143331,0.945155,0.334569,0.665431,0.453222,0.09286,0.2,0.001046,0.292877,0.878888,0.317219,0.026891,0.56266,0.838875,0.83376,0.667519,0.262683,boiling_trend,0.177988,0.167542,0.941312,1.001898,0.505824,0.494176,0.966136,0.086007,0.1,0.555279,0.623385,1.036556,0.176338,0.05786,0.680912,0.695157,0.60114,0.410256,0.190352,quiet_chop,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.065944,,,simple_ito,0.49575125,0.5949015,0.5,0.5949015,bucket_1,,False,False,True,False,False,False,True,net_edge,True
CONX,COIN,False,,False,letf_long,1.999579,194,posterior.nominal_L,0.007611909836892507,0.07233598218071251,1,ok,2.0,240.0,nominal_L,0.143956,95000,0.143956,False,False,6.686999797821045,0.143956,1.0,False,,False,False,1.401266,0.658295,0.688582,0.703298,"{""method"":""weighted_median"",""n_probes"":10,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.837882,""sigma_pool"":0.688582,""sigma_capped_to"":null}",0.8378817621247917,1.0473522026559896,0.0097,yfinance,0.0,0.03772,0.52125,True,0.626753,0.5123396111111111,1.0177154126861576,False,0.52125,0.52125,0.52125,0.52125,simple_ito_fallback,-0.650894,0.0,479.0,252.0,2026-09-01,letf,crypto-equity,True,blended_realized_expected,0.5123396111111111,0.5897725,0.14595538888888887,0.13873115286624207,0.140728,0.14206877093847972,0.25656526845924565,0.3302720284532028,0.3750108078627039,0.42826194287518016,0.5151185232881027,"{""e"":[0.232815,0.249316,0.265818,0.282319,0.298821,0.315323,0.331824,0.348326,0.364827,0.381329,0.39783,0.414332,0.430834,0.447335,0.463837,0.480338,0.49684,0.513341,0.529843,0.546345,0.562846],""c"":[10,18,10,15,23,26,27,36,46,34,35,25,16,16,14,17,6,10,6,2]}",0.52125,0.13704499999999997,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1561;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.16437952094326433,mean_reversion,False,incomplete_regime,90.0,157.0,weighted_empirical,-0.1560769871175287,0.52125,simple_ito_fallback,anchor_shift_fallback,,0.07394023089959885,,0.6773269871175287,0.776449,0.824271,1.06159,0.987036,0.460263,0.539737,0.559539,0.192088,0.1,0.374659,0.474407,0.988169,0.173995,0.187907,0.711538,0.794872,0.698718,0.179487,0.254053,quiet_trend,0.714391,0.652411,0.91324,0.959795,0.377769,0.622231,1.0,0.021919,0.1,0.15261,0.660624,0.962837,0.068512,-0.059184,0.172414,0.439655,0.603448,0.172414,0.135384,quiet_chop,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.52125,,,simple_ito,0.49989475,0.5998737,0.5,0.5998737,bucket_1,,False,False,False,False,False,False,False,,False
CSCL,CSCO,False,,False,letf_long,2.007404,297,posterior.nominal_L,0.02205045064818344,0.05320870743309278,1,ok,2.0,240.0,nominal_L,0.10131,100000,0.10131,False,False,52.36000061035156,0.10131,1.0,False,,False,False,0.619016,0.179033,0.308366,0.337845,"{""method"":""weighted_median"",""n_probes"":2,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.420787,""sigma_pool"":0.308366,""sigma_capped_to"":null}",0.4207870002421269,0.5259837503026586,0.0107,yfinance,0.0,0.03772,0.144848,True,0.179033,0.07631591666666668,1.0000013862924215,False,0.144848,0.144848,0.144848,0.144848,simple_ito_fallback,-1.943142,0.0,478.0,252.0,2026-09-01,letf,,True,blended_realized_expected,0.07631591666666668,0.1619405,0.10271708333333332,0.12696127439024388,0.189291,0.14056751468218648,-0.11175235055347356,-0.04337018402552743,0.013190514899801456,0.05542528893126958,0.10760422056976555,"{""e"":[-0.144783,-0.1286,-0.112417,-0.096235,-0.080052,-0.063869,-0.047686,-0.031503,-0.01532,0.000862,0.017045,0.033228,0.049411,0.065594,0.081776,0.097959,0.114142,0.130325,0.146508,0.16269,0.178873],""c"":[5,11,23,13,12,26,20,21,34,42,50,28,40,26,19,9,7,4,0,2]}",0.144848,0.03418499999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0709;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.1266553375006048,mean_reversion,False,incomplete_regime,90.0,164.0,weighted_empirical,-0.07089164596784595,0.144848,simple_ito_fallback,anchor_shift_fallback,,0.045672284057170734,,0.21573964596784595,0.406688,0.395002,0.971263,0.955926,0.366253,0.633747,0.317543,0.060591,0.0,0.607205,0.432449,0.942946,0.586931,-0.031045,0.407692,0.734615,0.603846,0.884615,0.303692,quiet_mixed,0.508199,0.493205,0.970495,0.92172,0.26803,0.73197,0.861792,0.072943,0.016949,0.011492,0.29,0.860472,0.257495,0.140109,0.609091,0.945455,0.463636,0.527273,0.246341,volatile_mixed,joint_etf_metrics,heuristic_v2_persistence_cadence,2,short_favorable_positive,0.144848,,,simple_ito,0.501851,0.6022212,0.501851,0.6022212,bucket_1,,False,False,True,False,False,False,True,net_edge,False
