ticker,bucket,panel_max,last_row_date,last_joint_usable,sessions_behind,cf_tail_length,gap_gt5d_last_60d,joint_usable_n,market_fixable,last_non_cf_provider,last_issuer_ok_provider,last_issuer_ok_date,last_stale_kind,tradeable
AAPX,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,629,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
AFRU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,211,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
APHU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,105,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
BMNU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,203,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
BTCL,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,506,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
BTCZ,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,505,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
CCUP,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,236,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
CIFU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,163,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
CORD,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,203,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
CRCD,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,203,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
CRWU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,246,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
DJTU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,346,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
EOSU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,128,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
ETU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,433,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
FGRU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,104,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
GLXU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,237,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
GMEU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,308,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
GOOX,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,631,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
KTUP,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,211,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
MSFX,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,629,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
MSTU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,456,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
MSTZ,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,456,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
NFLU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,450,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
NVDQ,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,684,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
NVDX,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,684,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
RBLU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,344,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
RDWU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,115,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
ROBN,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,365,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
SBTU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,184,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
SMUP,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,244,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
SNDU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,87,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
SNOU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,308,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
TSLT,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,685,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
TTDU,current,2026-08-14,2026-08-12,2026-08-12,2,0,1,209,False,rex_shares,rex_shares,2026-08-12,issuer_lag,True
AALG,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,261,False,market_backed,polygon,2026-08-11,market_backed_no_issuer_nav,True
AAOG,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,49,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AAOX,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,88,False,tradr_axs,tradr_axs,2026-08-13,nan,True
AAOZ,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,15,False,tradr_axs,tradr_axs,2026-08-13,nan,True
AAPB,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,985,False,granite_shares,granite_shares,2026-08-13,nan,True
AAPE,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,28,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AAPW,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,361,False,roundhill,roundhill,2026-08-13,nan,False
ACLZ,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,29,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
ACMM,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,27,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
ADBG,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,333,False,polygon,polygon,2026-08-13,nan,True
ADBU,current,2026-08-14,2026-08-13,2026-08-13,1,0,3,73,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
ADIU,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,28,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AEHG,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,27,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AIYY,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,664,False,market_backed,yieldmax,2026-08-12,market_backed_no_issuer_nav,False
ALBG,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,127,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AMA,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,57,False,market_backed,defiance,2026-08-12,market_backed_no_issuer_nav,True
AMAA,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,29,False,merged,,,issuer_lag,True
AMAU,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,48,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AMDC,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,29,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AMDG,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,369,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AMDL,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,586,False,granite_shares,granite_shares,2026-08-13,nan,True
AMDW,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,255,False,roundhill,roundhill,2026-08-13,nan,False
AMDY,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,704,False,market_backed,yieldmax,2026-08-12,market_backed_no_issuer_nav,False
AMKL,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,56,False,market_backed,defiance,2026-08-12,market_backed_no_issuer_nav,True
AMPU,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,56,False,market_backed,defiance,2026-08-12,market_backed_no_issuer_nav,True
AMUU,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,327,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
AMYY,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,205,False,granite_shares,granite_shares,2026-08-13,nan,True
AMZG,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,28,False,merged,,,issuer_lag,True
AMZO,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,90,False,tradr_axs,tradr_axs,2026-08-13,nan,True
AMZW,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,279,False,roundhill,roundhill,2026-08-13,nan,False
AMZY,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,743,False,market_backed,yieldmax,2026-08-12,market_backed_no_issuer_nav,False
AMZZ,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,587,False,granite_shares,granite_shares,2026-08-13,nan,True
ANEL,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,219,False,market_backed,defiance,2026-08-12,market_backed_no_issuer_nav,True
APHG,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,32,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
APLX,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,225,False,tradr_axs,tradr_axs,2026-08-13,nan,True
APLY,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,810,False,market_backed,yieldmax,2026-08-12,market_backed_no_issuer_nav,False
APLZ,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,132,False,tradr_axs,tradr_axs,2026-08-13,nan,True
APPC,current,2026-08-14,2026-08-13,2026-08-13,1,0,2,26,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
APPX,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,318,False,tradr_axs,tradr_axs,2026-08-13,nan,True
ARCX,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,287,False,tradr_axs,tradr_axs,2026-08-13,nan,True
ARMG,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,381,False,market_backed,merged,2026-08-06,market_backed_no_issuer_nav,True
ARMW,current,2026-08-14,2026-08-13,2026-08-13,1,0,1,191,False,roundhill,roundhill,2026-08-13,nan,False
